market,itemName,image,period,price,disc_price
costco,써모플라스크 보온보냉병 474ml 2PK,/medias/sys_master/images/h24/h4f/136734102683678.jpg,행사기간 2023/01/30 - 2023/02/12,"27,990원","할인금액 5,000원"
costco,"뉴트리원피로개선홍경천 &밀크씨슬1,200mg x 30캡슐x2",/medias/sys_master/images/h9d/ha7/115844082597918.jpg,행사기간 2023/01/30 - 2023/02/12,"27,990원","할인금액 4,000원"
costco,"플레이도 스마일팩(트리하우스,치과의사,회오리감자)",/medias/sys_master/images/h5c/h79/118819855728670.jpg,행사기간 2023/01/23 - 2023/02/05,"27,990원","할인금액 5,000원"
costco,하베브릭스 포레스트도우 생일파티팩,/medias/sys_master/images/hf0/h3b/117376164266014.jpg,행사기간 2023/01/30 - 2023/02/12,"26,990원","할인금액 4,000원"
costco,아이리스 투명 수납함 24L 5개,/medias/sys_master/images/hf6/h02/27956859895838.jpg,행사기간 2023/01/23 - 2023/02/05,"26,990원","할인금액 8,000원"
costco,CJ 햇반 작은햇반 130g x 36개,/medias/sys_master/hc1/hdb/8810540007454.jpg,행사기간 2023/01/31 - 2023/02/12,"26,990원","할인금액 3,000원"
costco,휠라 여성 조거 바지,/medias/sys_master/images/h49/h1e/136224168575006.jpg,행사기간 2023/01/20 - 2023/02/12,"26,490원","할인금액 5,000원"
costco,에어리움 여성용 골프 장갑 4개,/medias/sys_master/images/hd1/h5a/50824624439326.jpg,행사기간 2023/01/30 - 2023/02/12,"25,990원","할인금액 3,500원"
costco,VT 더블레이어 톤업쿠션 ( 본품 1/ 리필 1/ 퍼프 3),/medias/sys_master/images/h40/h15/85312789708830.jpg,행사기간 2023/01/23 - 2023/02/05,"25,990원","할인금액 4,000원"
costco,엔젯오리진 MSM 조인트케어 맥스 비타민D 엔젯오리진 MSM 조인트케어맥스비타민D 60정 x 2입,/medias/sys_master/images/h37/hfd/134742891298846.jpg,행사기간 2023/01/30 - 2023/02/12,"25,990원","할인금액 5,000원"
costco,아임프롬 허니 마스크  120g + 30g x 2입,/medias/sys_master/images/hfb/h65/84881180229662.jpg,행사기간 2023/01/23 - 2023/02/05,"25,490원","할인금액 3,500원"
costco,애플라인드 성인 방한내의 세트,/medias/sys_master/images/hf8/h33/123017476014110.jpg,행사기간 2023/01/27 - 2023/02/09,"24,990원","할인금액 5,000원"
costco,캐스케이드 울트라 라이트 접이식 테이블,/medias/sys_master/images/h45/h22/87402651254814.jpg,행사기간 2023/01/30 - 2023/02/12,"24,990원","할인금액 5,000원"
costco,아모스 아이클레이 세트,/medias/sys_master/images/h1e/h2e/87077972508702.jpg,행사기간 2023/01/30 - 2023/02/12,"24,990원","할인금액 5,000원"
costco,사과 5kg,/medias/sys_master/images/hf5/hf0/120252777267230.jpg,행사기간 2023/01/30 - 2023/02/05,"24,490원","할인금액 3,500원"
costco,금홍팬시 디즈니 문구 세트,/medias/sys_master/images/hcf/hfb/138042009190430.jpg,행사기간 2023/01/30 - 2023/02/12,"23,990원","할인금액 3,000원"
costco,애슐리오리지널통살치킨 1.2kg x 2,/medias/sys_master/images/h22/h54/120122411614238.jpg,행사기간 2023/01/23 - 2023/02/05,"23,990원","할인금액 3,500원"
costco,호야 카노사 2팩 60cm,/medias/sys_master/images/h94/h9d/83476351975454.jpg,행사기간 2023/01/23 - 2023/02/05,"23,790원","할인금액 4,200원"
costco,PGA  Tour 넥 워머 2개,/medias/sys_master/images/h92/h3d/135381417263134.jpg,행사기간 2023/01/23 - 2023/02/05,"22,490원","할인금액 4,000원"
costco,센텔리안 24+ 마시는 콜라겐 3000 프로틴 20ml x 30포,/medias/sys_master/images/h9e/h76/65527664705566.jpg,행사기간 2023/01/23 - 2023/02/12,"22,490원","할인금액 4,000원"
costco,오가니스트 퍼퓸 샴푸1100ml x 2,/medias/sys_master/images/he0/h2a/121042057691166.jpg,행사기간 2023/01/23 - 2023/02/05,"21,990원","할인금액 5,000원"
costco,로하시스 허니 스트럭쳐 아이패치 60매 x 2,/medias/sys_master/images/hb2/hc2/28167950073886.jpg,행사기간 2023/01/30 - 2023/02/12,"21,990원","할인금액 5,000원"
costco,휠라 아동 긴소매 티셔츠,/medias/sys_master/images/hb2/he8/137565518659614.jpg,행사기간 2023/01/30 - 2023/02/12,"20,990원","할인금액 5,000원"
costco,풀무원 얇은피 만두(김치/고기) 400g x 6봉,/medias/sys_master/images/h5b/h31/84022350479390.jpg,행사기간 2023/01/29 - 2023/02/13,"20,490원","할인금액 2,500원"
costco,휘게선크림 50ml X 2(비건 or릴리프선모이스처라이저),/medias/sys_master/images/h0d/h1d/100707326361630.jpg,행사기간 2023/01/23 - 2023/02/05,"20,490원","할인금액 3,500원"
costco,"뉴트리원 BB LAB 더콜라겐1500/ 2,000mg x 60포",/medias/sys_master/images/hba/hce/32213147189278.jpg,행사기간 2023/01/30 - 2023/02/12,"19,990원","할인금액 5,000원"
costco,테이스틴 단백질칩 600g (50gX12),/medias/sys_master/images/hc5/h08/135786438688798.jpg,행사기간 2023/01/23 - 2023/02/05,"19,890원","할인금액 4,000원"
costco,매일 셀렉스 스포츠 웨이 프로틴 파우더 627g,/medias/sys_master/images/hb8/h55/80976141352990.jpg,행사기간 2023/01/16 - 2023/02/05,"19,490원","할인금액 6,000원"
costco,셀리맥스 지우개 패드70매x 2,/medias/sys_master/images/h41/h0e/132758707732510.jpg,행사기간 2023/01/23 - 2023/02/05,"19,490원","할인금액 3,500원"
costco,휘게 내추럴 리페어 세럼 120ml + 30ml,/medias/sys_master/images/hc1/h56/116669933256734.jpg,행사기간 2023/01/23 - 2023/02/05,"18,990원","할인금액 3,500원"
costco,푸마 여성 피트니스 긴팔 티셔츠,/medias/sys_master/images/h4a/ha2/134095224504350.jpg,행사기간 2023/01/20 - 2023/02/12,"18,490원","할인금액 4,000원"
